model,target_date,forecast_origin_date,max_data_date_used,estimation_window_start,estimation_window_end,state_prob_type,state_prob_date,threshold_fit_end,hyperparameter_source,causal_pass
MS_POT_Mixture,2022-01-03,2022-01-03,2021-12-31,2015-11-27,2021-12-31,predictive,2021-12-31,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-04,2022-01-04,2022-01-03,2015-11-27,2021-12-31,predictive,2022-01-03,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-05,2022-01-05,2022-01-04,2015-11-27,2021-12-31,predictive,2022-01-04,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-06,2022-01-06,2022-01-05,2015-11-27,2021-12-31,predictive,2022-01-05,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-07,2022-01-07,2022-01-06,2015-11-27,2021-12-31,predictive,2022-01-06,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-10,2022-01-10,2022-01-07,2015-11-27,2021-12-31,predictive,2022-01-07,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-11,2022-01-11,2022-01-10,2015-11-27,2021-12-31,predictive,2022-01-10,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-12,2022-01-12,2022-01-11,2015-11-27,2021-12-31,predictive,2022-01-11,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-13,2022-01-13,2022-01-12,2015-11-27,2021-12-31,predictive,2022-01-12,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-14,2022-01-14,2022-01-13,2015-11-27,2021-12-31,predictive,2022-01-13,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-17,2022-01-17,2022-01-14,2015-11-27,2021-12-31,predictive,2022-01-14,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-18,2022-01-18,2022-01-17,2015-11-27,2021-12-31,predictive,2022-01-17,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-19,2022-01-19,2022-01-18,2015-11-27,2021-12-31,predictive,2022-01-18,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-20,2022-01-20,2022-01-19,2015-11-27,2021-12-31,predictive,2022-01-19,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-21,2022-01-21,2022-01-20,2015-11-27,2021-12-31,predictive,2022-01-20,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-24,2022-01-24,2022-01-21,2015-11-27,2021-12-31,predictive,2022-01-21,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-25,2022-01-25,2022-01-24,2015-11-27,2021-12-31,predictive,2022-01-24,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-27,2022-01-27,2022-01-25,2015-11-27,2021-12-31,predictive,2022-01-25,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-28,2022-01-28,2022-01-27,2015-11-27,2021-12-31,predictive,2022-01-27,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-01-31,2022-01-31,2022-01-28,2015-11-27,2021-12-31,predictive,2022-01-28,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-01,2022-02-01,2022-01-31,2015-11-27,2021-12-31,predictive,2022-01-31,2021-12-31,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-02,2022-02-02,2022-02-01,2015-12-29,2022-02-01,predictive,2022-02-01,2022-02-01,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-03,2022-02-03,2022-02-02,2015-12-29,2022-02-01,predictive,2022-02-02,2022-02-01,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-04,2022-02-04,2022-02-03,2015-12-29,2022-02-01,predictive,2022-02-03,2022-02-01,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-07,2022-02-07,2022-02-04,2015-12-29,2022-02-01,predictive,2022-02-04,2022-02-01,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-08,2022-02-08,2022-02-07,2015-12-29,2022-02-01,predictive,2022-02-07,2022-02-01,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-09,2022-02-09,2022-02-08,2015-12-29,2022-02-01,predictive,2022-02-08,2022-02-01,frozen pre-test (training/validation only),True
MS_POT_Mixture,2022-02-10,2022-02-10,2022-02-09,2015-12-29,2022-02-01,predictive,2022-02-09,2022-02-01,frozen pre-test (training/validation only),True
