regime,q,threshold_u,n_regime_obs,n_exceed,xi,xi_se,xi_ci_lo,xi_ci_hi,beta,beta_se,ks_stat,ks_p,fit_success,selected_q
0,0.85,0.9937284703932634,1322,199,-0.21895409404346444,0.05576162668578912,-0.33244223217644664,-0.12281848133874769,0.7324895997194945,0.06806680102928228,0.03722254291152399,0.9359044398051939,True,False
0,0.86,1.0721594986366327,1322,185,-0.18125288129015948,0.06615312592517829,-0.30007450267631736,-0.05899188332144735,0.6692688856693255,0.063321807058882,0.029391410169670285,0.9958728357040509,True,False
0,0.87,1.1086240531390728,1322,172,-0.2014074427322951,0.0639796217068923,-0.3253032988227802,-0.08293605314780383,0.6863293868179662,0.060856458012994476,0.03560258089785806,0.9758923896250332,True,False
0,0.88,1.1736940786323473,1322,159,-0.17982964318255124,0.07283908886954737,-0.32508295897892425,-0.043364176295867966,0.6490154804315182,0.06589345356510423,0.03418213342425325,0.9893819063626242,True,False
0,0.89,1.2302070889078824,1322,146,-0.177942782701432,0.08083469018703471,-0.33045916300524847,-0.039986180851314154,0.6366173616927596,0.07146271930305875,0.037260566216458346,0.9828355804713624,True,False
0,0.9,1.2922189143953173,1322,133,-0.17287777108988384,0.08832916394093536,-0.3754041443229676,-0.01929653389469138,0.6201048082545427,0.0691876395054203,0.042066341366268356,0.9648276272770858,True,False
0,0.91,1.371364501413151,1322,119,-0.14703332422725834,0.09904073910138783,-0.3629855620251758,0.023213904166181857,0.5817387409061252,0.07250395674130558,0.05858122317460361,0.7864932605561511,True,False
0,0.92,1.415586795854757,1322,106,-0.20253619614059523,0.10564797448167833,-0.4324283416895572,-0.017641500574778916,0.6288627182865066,0.08618921474599955,0.05192132359273005,0.9231579432940658,True,False
0,0.93,1.4876646738366832,1322,93,-0.22409617479517588,0.09746891201307072,-0.44181629076769513,-0.056349752907694776,0.6358256802243746,0.08322397192077874,0.0595933674999396,0.8761683771932767,True,True
0,0.94,1.5621927586364068,1322,80,-0.26390375042202596,0.11163999909081189,-0.5152197088751523,-0.04957610288644337,0.6605833176817043,0.10448121227031847,0.06250115433183417,0.8940225325179423,True,False
0,0.95,1.6800589006077575,1322,67,-0.25572187406349467,0.12877281623326858,-0.5523651192786364,-0.05015275623570409,0.62142911463752,0.11025669420516307,0.07735255040814754,0.7886786240254622,True,False
0,0.96,1.7786983666354073,1322,53,-0.3430713515672399,0.1489764442409038,-0.7048508878393706,-0.13865855376708586,0.6853321336101845,0.14479987232227937,0.06294848937198994,0.9759918790532809,True,False
0,0.97,1.9632076246191577,1322,40,-0.3327141863060239,0.18737458474263305,-0.7978926834584452,-0.07404596166878354,0.6130603014774378,0.1544626373958532,0.0869508102908923,0.8972271718789768,True,False
0,0.98,2.1918776098867454,1322,27,,,,,,,,,False,False
1,0.85,1.0174388270045902,879,132,-0.03723501907682797,0.10306773465302932,-0.2153762686644367,0.17910222212159022,0.5831145611125904,0.06560964471432229,0.05982755941031492,0.7091534465339319,True,False
1,0.86,1.0706207349349752,879,123,-0.022802956026536307,0.10716549043142887,-0.2741655537531918,0.1883861797893206,0.5607638415745454,0.07077951116960934,0.059571072790052026,0.7523623247722357,True,False
1,0.87,1.1143311772529416,879,115,-0.013755769031321922,0.11168267768515296,-0.25751862278135,0.1914110141776761,0.5480691944416645,0.07170593369205669,0.06093418566426276,0.7632844420589165,True,False
1,0.88,1.15294817411537,879,106,-0.021607158209659673,0.11990923480645932,-0.2832880538022779,0.19463764866423722,0.5581756278086172,0.08058485405815143,0.07063915110471444,0.639353422147814,True,False
1,0.89,1.2247408572172085,879,97,0.010066212050204821,0.1240525561464448,-0.24115607322412305,0.19744772389236284,0.5161071695374493,0.08287578981987435,0.06060949774410218,0.8468678101204757,True,False
1,0.9,1.2958654560871354,879,88,0.04441138973423967,0.13303246122224738,-0.24367159785289744,0.27582143167375583,0.47770628955225886,0.0834202724831374,0.06601385344216071,0.8134229472049328,True,False
1,0.91,1.34569759785175,879,80,0.05115178484719289,0.13186525146042496,-0.2117340388388137,0.3046446210338012,0.4724130194380462,0.08170265398410677,0.07323707803591406,0.7562470421202032,True,False
1,0.92,1.4190356662836718,879,71,0.08585411653528949,0.1465946927171205,-0.19936193208849598,0.3310727805262974,0.44157751249337157,0.0873351346455279,0.08554058469014747,0.6448419615679062,True,False
1,0.93,1.4825224384734033,879,62,0.08924306925251083,0.1548884210052057,-0.1884384367804956,0.4165136152618118,0.44269057067641454,0.09221933825788388,0.09639924390866861,0.5784125462049869,True,False
1,0.94,1.560920908748603,879,53,0.1107241068060527,0.1789473568467021,-0.26399415761083556,0.3806019749183685,0.4299215145779773,0.09918544494833054,0.11016374375821164,0.5059200722138425,True,False
1,0.95,1.6859093989993283,879,44,0.24807763738000854,0.19826076604871593,-0.17207449958840806,0.5404887012295299,0.33894948979711315,0.09625071397785703,0.09122897072295055,0.8250760463120625,True,False
1,0.96,1.7708747961888611,879,36,0.3678070771377746,0.2827535689603969,-0.3310041841216589,0.7662124349050516,0.2977663162582381,0.11873578210993743,0.10237970331858132,0.8081487642545091,True,True
1,0.97,1.8609589471268495,879,27,,,,,,,,,False,False
1,0.98,2.0275296325142627,879,18,,,,,,,,,False,False
